,fecha,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,day,month,year,id,envio_total,cobrable,devuelto,vendido
0,2022-01-02,nacional,celebracion lo lleva a la muerte,"ya no llego a darles el abrazo a sus papas, en el progreso",4,0,3,0.0,0,0,1,0,0,0,0,modelo,1,6,13,Sunday,January,2022,010222nacional,94993.0,93185.0,11937.0,81248.0
1,2022-01-03,nacional,campeon historico,los toros suman su primer titulo de liga nacional,5,0,1,1.0,2,1,0,0,0,0,1,deporte,1,2,9,Monday,January,2022,010322nacional,110810.0,108409.0,6740.0,101669.0
2,2022-01-03,occidente,invierten en obras,cuatro comunidades de san pedro sacatepequez se beneficiaran con los trabajos,4,0,0,1.0,0,3,0,0,0,0,1,deporte,1,3,11,Monday,January,2022,010322occidente,8528.0,8314.0,59.0,8255.0
3,2022-01-03,centro,abarrotan balneario,los aposentos recibe a cientos de chimaltecos y visitantes el fin de semana,4,0,0,0.0,1,3,0,0,0,0,1,deporte,1,2,13,Monday,January,2022,010322centro,10693.0,10414.0,348.0,10066.0
4,2022-01-03,sur,caen en hondonada,percance vial en santa maria el naranjo coatepeque deja un fallecido y a un joven lesionado,4,0,0,0.0,2,2,0,0,0,0,1,deporte,1,3,16,Monday,January,2022,010322sur,31243.0,31023.0,796.0,30227.0
5,2022-01-03,norte,aumenta turismo,comercio mejora ventas en el malecon san andres,4,0,0,1.0,1,2,0,0,0,0,1,deporte,1,2,8,Monday,January,2022,010322norte,12143.0,11921.0,390.0,11531.0
6,2022-01-03,oriente,refugio de indigentes,personas aprovechan antigua carcel y sede de diprona que esta abandonada en zacapa,4,0,1,1.0,0,2,0,0,0,0,1,deporte,1,3,13,Monday,January,2022,010322oriente,12667.0,12420.0,285.0,12135.0
7,2022-01-03,guate,piden paciencia,"el trafico se complica mientras avanza la construccion de paso a desnivel en san miguel petapa, donde agentes regulan el paso",4,0,0,0.0,0,4,0,0,0,0,0,deporte,1,2,21,Monday,January,2022,010322guate,35536.0,34317.0,4862.0,29455.0
8,2022-01-04,nacional,arde ensambladora,se destruyen miles de motos en amatitlan,4,0,1,0.0,3,0,0,0,0,0,0,nacionales,1,2,7,Tuesday,January,2022,010422nacional,97543.0,95151.0,8336.0,86815.0
9,2022-01-04,occidente,"hasta siempre, tico","conmocion en marquense por la muerte de marcos menaldo, aparentemente por paro cardiaco",4,0,0,0.0,1,2,1,0,0,0,1,nacionales,1,3,13,Tuesday,January,2022,010422occidente,7541.0,7327.0,95.0,7232.0
