Unnamed: 0,fecha,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,day,month,year,id,envio_total,cobrable,devuelto,vendido
0,2022-01-02,nacional,celebracion lo lleva a la muerte,"ya no llego a darles el abrazo a sus papas, en el progreso",4,0,3,0.0,0,0,1,0,0,0,0,modelo,1,6,13,Sunday,January,2022,010222nacional,94993.0,93185.0,11937.0,81248.0
1,2022-01-03,nacional,campeon historico,los toros suman su primer titulo de liga nacional,5,0,1,1.0,2,1,0,0,0,0,1,deporte,1,2,9,Monday,January,2022,010322nacional,110810.0,108409.0,6740.0,101669.0
8,2022-01-04,nacional,arde ensambladora,se destruyen miles de motos en amatitlan,4,0,1,0.0,3,0,0,0,0,0,0,nacionales,1,2,7,Tuesday,January,2022,010422nacional,97543.0,95151.0,8336.0,86815.0
15,2022-01-05,nacional,balean albaniles,"sicarios los esperaban en esquina del centro de gualan, zacapa",3,0,2,0.0,0,0,0,1,0,0,1,modelo,1,2,10,Wednesday,January,2022,010522nacional,96234.0,93842.0,14682.0,79160.0
22,2022-01-06,nacional,feliz dia de reyes,-,1,0,0,0.0,0,0,0,1,0,1,0,modelo,1,4,1,Thursday,January,2022,010622nacional,96254.0,93851.0,9796.0,84055.0
29,2022-01-07,nacional,mueren madre e hijo,picop impacta contra camion en chiquimula,3,0,1,0.0,1,1,0,0,0,0,1,modelo,1,4,6,Friday,January,2022,010722nacional,98142.0,94139.0,7460.0,86679.0
36,2022-01-08,nacional,balean a policias,nuevo ataque contra fuerzas de seguridad deja un agente muerto y 27 heridos,2,0,1,0.0,1,0,0,0,0,0,0,internacional,1,3,13,Saturday,January,2022,010822nacional,103938.0,102049.0,9393.0,92656.0
39,2022-01-09,nacional,acribillado,persiguen a mototaxista en la avenida juan chapin en la capital,4,0,3,0.0,0,0,1,0,0,0,0,modelo,1,1,11,Sunday,January,2022,010922nacional,99735.0,97885.0,8923.0,88962.0
40,2022-01-10,nacional,masacre en mercado,matan a cuatro comerciantes y hieren a otro en chimaltenango,3,0,2,0.0,0,1,0,0,0,0,1,internacional,1,3,10,Monday,January,2022,011022nacional,105566.0,103170.0,7036.0,96134.0
47,2022-01-11,nacional,llevaban droga y balas de fusil,capturan a mareros cerca del centro preventivo de la zona 18 de la capital,4,0,1,0.0,2,0,1,0,0,0,0,internacional,1,6,14,Tuesday,January,2022,011122nacional,95624.0,93032.0,8174.0,84858.0
